Back to ToC,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Reference_ID,Value,Organization Subtype,Location Name,Location ID,Superior Organization Name,Superior_Organization_ID,Comments,Sup Org Manager,Inactive
2123001535,,,,,,,,,,NEW2123001535,Sch Psychology-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123002720,,,,,,,,,,NEW2123002720,Sch Psychology-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123003009,,,,,,,,,,NEW2123003009,Sch Psychology-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123003283,,,,,,,,,,NEW2123003283,Sch Psychology-Postdoctoral Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123046315,,,
2123003670,,,,,,,,,,NEW2123003670,Sch Psychology-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123003676,,,,,,,,,,NEW2123003676,Sch Psychology-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123006271,,,,,,,,,,NEW2123006271,Sch Psychology- Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123006529,,,,,,,,,,NEW2123006529,Sch Psychology-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123007067,,,,,,,,,,NEW2123007067,Sch Psychology-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123008528,,,,,,,,,,NEW2123008528,Sch Psychology-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123009646,,,,,,,,,,NEW2123009646,Sch Psychology-Senior Administrative Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121275569,,,
2123009805,,,,,,,,,,NEW2123009805,Sch Psychology-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123015050,,,,,,,,,,NEW2123015050,Sch Psychology-Honorary Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123019951,,,,,,,,,,NEW2123019951,Sch Psychology-Research Academic,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123020305,,,,,,,,,,NEW2123020305,Sch Psychology-Tutor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123020893,,,,,,,,,,NEW2123020893,Sch Psychology-Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121197898,,,
2123020937,,,,,,,,,,NEW2123020937,Sch Psychology-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123021100,,,,,,,,,,NEW2123021100,Sch Psychology-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123021385,,,,,,,,,,NEW2123021385,Sch Psychology-Placement Officer (MAP),Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121011574,,,
2123021654,,,,,,,,,,NEW2123021654,Sch Psychology-Research Manager,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123008528,,,
2123021982,,,,,,,,,,NEW2123021982,Sch Psychology-Research Manager,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123008528,,,
2123022980,,,,,,,,,,NEW2123022980,Sch Psychology-Research Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123024157,,,,,,,,,,NEW2123024157,Sch Psychology-ARC DECRA,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121035587,,,
2123024414,,,,,,,,,,NEW2123024414,Sch Psychology-Facilities&Operations Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121275569,,,
2123024422,,,,,,,,,,NEW2123024422,Sch Psychology-Research Academic,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123024423,,,,,,,,,,NEW2123024423,Sch Psychology-Administrative Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123009646,,,
2123024446,,,,,,,,,,NEW2123024446,Sch Psychology-Administrative Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121011574,,,
2123024448,,,,,,,,,,NEW2123024448,Sch Psychology-ARC Australian Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123024625,,,,,,,,,,NEW2123024625,Sch Psychology-Curriculum Development Leader,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121197898,,,
2123024653,,,,,,,,,,NEW2123024653,Sch Psychology-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123025098,,,,,,,,,,NEW2123025098,Sch Psychology-Senior Administrative Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123025282,,,,,,,,,,NEW2123025282,Sch Psychology-ARC Australian Laureate Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123025344,,,,,,,,,,NEW2123025344,Sch Psychology-ARC Future Fellowship,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123025453,,,,,,,,,,NEW2123025453,Sch Psychology-Casual Finance Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123026644,,,,,,,,,,NEW2123026644,Sch Psychology-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123026907,,,,,,,,,,NEW2123026907,Sch Psychology-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123027642,,,,,,,,,,NEW2123027642,Sch Psychology-Senior Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123027954,,,,,,,,,,NEW2123027954,Sch Psychology-Lecturer in Clinical Geropsych,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123028466,,,,,,,,,,NEW2123028466,Sch Psychology-Unpaid Functional Reports To,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123028475,,,,,,,,,,NEW2123028475,Sch Psychology-Scholar Functional Reports To,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123028904,,,,,,,,,,NEW2123028904,Sch Psychology-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123028905,,,,,,,,,,NEW2123028905,Sch Psychology-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123030875,,,,,,,,,,NEW2123030875,Sch Psychology-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123031662,,,,,,,,,,NEW2123031662,Sch Psychology-Emeritus Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123031671,,,,,,,,,,NEW2123031671,Sch Psychology-Emeritus Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123034647,,,,,,,,,,NEW2123034647,Sch Psychology-Deputy Director,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121197898,,,
2123034649,,,,,,,,,,NEW2123034649,Sch Psychology-Research Academic,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121197898,,,
2123035199,,,,,,,,,,NEW2123035199,Sch Psychology-Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123025344,,,
2123035563,,,,,,,,,,NEW2123035563,Sch Psychology-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123035640,,,,,,,,,,NEW2123035640,Sch Psychology-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123035676,,,,,,,,,,NEW2123035676,Sch Psychology-UQ Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123036146,,,,,,,,,,NEW2123036146,Sch Psychology-Clinic Manager,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121275569,,,
2123037012,,,,,,,,,,NEW2123037012,Sch Psychology-UQ Development Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123035640,,,
2123037034,,,,,,,,,,NEW2123037034,Sch Psychology-ARC Future Fellowship,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123037185,,,,,,,,,,NEW2123037185,Sch Psychology-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123038097,,,,,,,,,,NEW2123038097,Sch Psychology-Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123035640,,,
2123038535,,,,,,,,,,NEW2123038535,Sch Psychology-Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123035640,,,
2123040048,,,,,,,,,,NEW2123040048,Sch Psychology-NHMRC-ARC Dementia Research De,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123040218,,,,,,,,,,NEW2123040218,Sch Psychology-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123040221,,,,,,,,,,NEW2123040221,Sch Psychology-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123040465,,,,,,,,,,NEW2123040465,Sch Psychology-NHMRC Boosting Dementia Res Fe,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123041057,,,,,,,,,,NEW2123041057,Sch Psychology- Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123042072,,,,,,,,,,NEW2123042072,Sch Psychology-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123042687,,,,,,,,,,NEW2123042687,Sch Psychology-Early Career Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121197898,,,
2123042734,,,,,,,,,,NEW2123042734,Sch Psychology-Research Fellow (DECRA),Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123042938,,,,,,,,,,NEW2123042938,Sch Psychology-Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121011000,,,
2123043054,,,,,,,,,,NEW2123043054,Sch Psychology-ARCBS Chair in Donor Research,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123044195,,,,,,,,,,NEW2123044195,Sch Psychology-Postdoctoral Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123044294,,,,,,,,,,NEW2123044294,Sch Psychology-Deputy Head (T&L),Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123044691,,,,,,,,,,NEW2123044691,Sch Psychology-Postdoctoral Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123046315,,,
2123045208,,,,,,,,,,NEW2123045208,Sch Psychology-Senior Administrative Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121229269,,,
2123046135,,,,,,,,,,NEW2123046135,Sch Psychology-ARC DECRA,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2123020937,,,
2123046315,,,,,,,,,,NEW2123046315,Sch Psychology-ARC Laureate Fellowship,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123047575,,,,,,,,,,NEW2123047575,Sch Psychology-Research Fellow (DECRA),Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123047577,,,,,,,,,,NEW2123047577,Sch Psychology-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123047578,,,,,,,,,,NEW2123047578,Sch Psychology-UQ Laureate Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123047696,,,,,,,,,,NEW2123047696,Sch Psychology-Facilities&Operations Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,NEW2121275569,,,
2123047704,,,,,,,,,,NEW2123047704,Sch Psychology-Senior Lecturer Clinical Psych,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
2123047758,,,,,,,,,,NEW2123047758,Sch Psychology-Honorary Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Psychology,SUP0000000702,,,
219,,,,,,,,,,SUP0000000130,Central Glasshouse Svces-Senior Technical Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Central Glasshouse Svces,NEW1303022400,,,
2541251280,,,,,,,,,,NEW2541251280,Business Intelligence-Principal IT Officer,School Centre/Other Centre,St Lucia Campus,S01,Business Intelligence,SUP0000000354,,,
254,,,,,,,,,,SUP0000000354,Business Intelligence-Associate Director,School Centre/Other Centre,St Lucia Campus,S01,Business Intelligence,SUP0000000554,,,
2543023903,,,,,,,,,,NEW2543023903,Business Intelligence-Data Warehouse Manager,School Centre/Other Centre,St Lucia Campus,S01,Business Intelligence,SUP0000000354,,,
2573000211,,,,,,,,,,NEW2573000211,CRCMining-Chief Financial Officer,School Centre/Other Centre,St Lucia Campus,S01,CRCMining,SUP0000000377,,,
257,,,,,,,,,,SUP0000000377,CRCMining-Professor,School Centre/Other Centre,St Lucia Campus,S01,CRCMining,SUP0000000154,,,
2573023202,,,,,,,,,,NEW2573023202,CRCMining-Senior Mechanical Engineer,School Centre/Other Centre,St Lucia Campus,S01,CRCMining,NEW2573000211,,,
2573029835,,,,,,,,,,NEW2573029835,CRCMining-Electronics Engineer,School Centre/Other Centre,Uni Farm - Pinjarra Hills,S10,CRCMining,NEW2573000211,,,
275,,,,,,,,,,SUP0000000661,Health Service-Associate Director,Branch/Directorate,St Lucia Campus,S01,Health Service,SUP0000000578,,,
2751310134,,,,,,,,,,NEW2751310134,Health Service-Practice Manager,Branch/Directorate,St Lucia Campus,S01,Health Service,SUP0000000661,,,
276,,,,,,,,,,SUP0000000661,Student Services-Associate Director,Branch/Directorate,St Lucia Campus,S01,Student Services,SUP0000000578,,,
2763044694,,,,,,,,,,NEW2763044694,Student Services-Student Relations Call Centre,Branch/Directorate,St Lucia Campus,S01,Student Services,SUP0000000276,,,
2781249928,,,,,,,,,,NEW2781249928,Halls of Residence Gatton-Senior Administrative Officer,School Centre/Other Centre,Gatton Campus,S29,Halls of Residence Gatton,SUP0000000638,,,
278,,,,,,,,,,SUP0000000638,Halls of Residence Gatton-Senior Manager,School Centre/Other Centre,Gatton Campus,S29,Halls of Residence Gatton,SUP0000000130,,,
286,,,,,,,,,,SUP000000089,Fin Plan and Analysis-Associate Director,Branch/Directorate,St Lucia Campus,S01,Fin Plan and Analysis,SUP000000051,,,
2921011062,,,,,,,,,,NEW2921011062,Information Tech Services-Senior IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923023927,,,
2921016401,,,,,,,,,,NEW2921016401,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036320,,,
2921032366,,,,,,,,,,NEW2921032366,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036317,,,
2921214991,,,,,,,,,,NEW2921214991,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036339,,,
2921245629,,,,,,,,,,NEW2921245629,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923019354,,,
2921264330,,,,,,,,,,NEW2921264330,"Information Tech Services-Manager, RAMS",Division,St Lucia Campus,S01,Information Tech Services,NEW2923028674,,,
292,,,,,,,,,,SUP000000051,Information Tech Services-Director of Central Area,Division,St Lucia Campus,S01,Information Tech Services,SUP00000001,,,
2923000876,,,,,,,,,,NEW2923000876,Information Tech Services-IT Manager (On-site Support),Division,PACE - Gabba,S45,Information Tech Services,NEW2923005049,,,
2923001789,,,,,,,,,,NEW2923001789,Information Tech Services-Principal IT Officer,Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923045798,,,
2923001883,,,,,,,,,,NEW2923001883,Information Tech Services-Principal Admin Officer,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036319,,,
2923002697,,,,,,,,,,NEW2923002697,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036320,,,
2923003398,,,,,,,,,,NEW2923003398,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923019323,,,
2923004533,,,,,,,,,,NEW2923004533,Information Tech Services-Senior Manager,Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923036316,,,
2923005036,,,,,,,,,,NEW2923005036,Information Tech Services-Senior IT Officer,Division,St Lucia Campus,S01,Information Tech Services,NEW2923025333,,,
2923005049,,,,,,,,,,NEW2923005049,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923011093,,,
2923006154,,,,,,,,,,NEW2923006154,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036320,,,
2923007007,,,,,,,,,,NEW2923007007,Information Tech Services-Software Development Team Lead,Division,St Lucia Campus,S01,Information Tech Services,NEW2923045798,,,
2923011093,,,,,,,,,,NEW2923011093,Information Tech Services-Senior Manager,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923013889,,,,,,,,,,NEW2923013889,Information Tech Services-Team Leader,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036336,,,
2923017247,,,,,,,,,,NEW2923017247,Information Tech Services-Senior Administrative Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923019354,,,
2923018446,,,,,,,,,,NEW2923018446,Information Tech Services-Principal Team Leader,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036345,,,
2923018478,,,,,,,,,,NEW2923018478,"Information Tech Services-Manager, University Networks",Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923018480,,,,,,,,,,NEW2923018480,"Information Tech Services-Manager, IT Procurement",Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923019323,,,,,,,,,,NEW2923019323,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923011093,,,
2923019354,,,,,,,,,,NEW2923019354,Information Tech Services-Senior Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036316,,,
2923020766,,,,,,,,,,NEW2923020766,Information Tech Services-Fleet Specialist,Division,St Lucia Campus,S01,Information Tech Services,NEW2923019323,,,
2923020894,,,,,,,,,,NEW2923020894,Information Tech Services-Senior IT Officer,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036322,,,
2923023076,,,,,,,,,,NEW2923023076,Information Tech Services-Senior Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036317,,,
2923023589,,,,,,,,,,NEW2923023589,Information Tech Services-Administrative Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923019354,,,
2923023855,,,,,,,,,,NEW2923023855,"Information Tech Services-Mgr, Analytics Data Services",Division,St Lucia Campus,S01,Information Tech Services,NEW2923023076,,,
2923023925,,,,,,,,,,NEW2923023925,Information Tech Services-Associate Director,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923023926,,,,,,,,,,NEW2923023926,Information Tech Services-Associate Director,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923023927,,,,,,,,,,NEW2923023927,Information Tech Services-Associate Director,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923023928,,,,,,,,,,NEW2923023928,Information Tech Services-Senior IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036317,,,
2923023929,,,,,,,,,,NEW2923023929,Information Tech Services-Senior IT Manager,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923023930,,,,,,,,,,NEW2923023930,Information Tech Services-Senior IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036317,,,
2923023931,,,,,,,,,,NEW2923023931,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923023932,,,,,,,,,,NEW2923023932,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036317,,,
2923023933,,,,,,,,,,NEW2923023933,"Information Tech Services-Manager, Data Administration",Division,St Lucia Campus,S01,Information Tech Services,NEW2923023076,,,
2923025333,,,,,,,,,,NEW2923025333,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923011093,,,
2923025481,,,,,,,,,,NEW2923025481,Information Tech Services-Senior AV Technician,Division,St Lucia Campus,S01,Information Tech Services,NEW2923019323,,,
2923026950,,,,,,,,,,NEW2923026950,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036321,,,
2923027734,,,,,,,,,,NEW2923027734,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923004533,,,
2923028674,,,,,,,,,,NEW2923028674,"Information Tech Services-Manager, CRM & Records Managem",Division,St Lucia Campus,S01,Information Tech Services,NEW2923019354,,,
2923032577,,,,,,,,,,NEW2923032577,Information Tech Services-Senior IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923019354,,,
2923034430,,,,,,,,,,NEW2923034430,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923044581,,,
2923035982,,,,,,,,,,NEW2923035982,Information Tech Services-Principal IT Officer,Division,Long Pocket,S81,Information Tech Services,NEW2921214991,,,
2923036316,,,,,,,,,,NEW2923036316,Information Tech Services-Deputy Director,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923036317,,,,,,,,,,NEW2923036317,Information Tech Services-Deputy Director,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923036319,,,,,,,,,,NEW2923036319,Information Tech Services-Associate Director,Division,St Lucia Campus,S01,Information Tech Services,SUP000000051,,,
2923036320,,,,,,,,,,NEW2923036320,Information Tech Services-Senior Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036317,,,
2923036321,,,,,,,,,,NEW2923036321,"Information Tech Services-Manager, Entprise Supprt Syste",Division,St Lucia Campus,S01,Information Tech Services,NEW2923019354,,,
2923036322,,,,,,,,,,NEW2923036322,"Information Tech Services-Manager, Application Administr",Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923004533,,,
2923036324,,,,,,,,,,NEW2923036324,"Information Tech Services-Manager, Identity Management",Division,St Lucia Campus,S01,Information Tech Services,NEW2923023076,,,
2923036332,,,,,,,,,,NEW2923036332,Information Tech Services-Security Architect,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036319,,,
2923036336,,,,,,,,,,NEW2923036336,Information Tech Services-Manager InfrastructureServices,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036320,,,
2923036339,,,,,,,,,,NEW2923036339,Information Tech Services-Senior IT Manager,Division,Long Pocket,S81,Information Tech Services,NEW2923036317,,,
2923036342,,,,,,,,,,NEW2923036342,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923023076,,,
2923036343,,,,,,,,,,NEW2923036343,Information Tech Services-BPM Team Lead,Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923004533,,,
2923036344,,,,,,,,,,NEW2923036344,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923011093,,,
2923036345,,,,,,,,,,NEW2923036345,"Information Tech Services-Manager, IT Service Delivery",Division,St Lucia Campus,S01,Information Tech Services,NEW2923011093,,,
2923036346,,,,,,,,,,NEW2923036346,Information Tech Services-Solutions Developm Project Mgr,Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923004533,,,
2923036350,,,,,,,,,,NEW2923036350,Information Tech Services-Administrative Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036319,,,
2923036351,,,,,,,,,,NEW2923036351,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036320,,,
2923036426,,,,,,,,,,NEW2923036426,Information Tech Services-IT Category Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036319,,,
2923036540,,,,,,,,,,NEW2923036540,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923045798,,,
2923037853,,,,,,,,,,NEW2923037853,Information Tech Services-Principal IT Officer,Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923004533,,,
2923039653,,,,,,,,,,NEW2923039653,Information Tech Services-IT Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036320,,,
2923040494,,,,,,,,,,NEW2923040494,Information Tech Services-Business Team Leader,Division,Long Pocket,S81,Information Tech Services,NEW2923036317,,,
2923041712,,,,,,,,,,NEW2923041712,Information Tech Services-Stakeholder Engagement Coordin,Division,St Lucia Campus,S01,Information Tech Services,NEW2923045748,,,
2923041746,,,,,,,,,,NEW2923041746,Information Tech Services-Technical Coordinator,Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923004533,,,
2923043863,,,,,,,,,,NEW2923043863,Information Tech Services-Licensing Sub-Category Manager,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036426,,,
2923044581,,,,,,,,,,NEW2923044581,"Information Tech Services-Manager, Entprise Prod Support",Division,St Lucia Campus,S01,Information Tech Services,NEW2923019354,,,
2923045748,,,,,,,,,,NEW2923045748,"Information Tech Services-Manager, EASE",Division,St Lucia Campus,S01,Information Tech Services,NEW2923036316,,,
2923045798,,,,,,,,,,NEW2923045798,"Information Tech Services-Manager, App Dev Support",Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923004533,,,
2923048663,,,,,,,,,,NEW2923048663,Information Tech Services-Senior Test Analyst,Division,St Lucia Campus,S01,Information Tech Services,NEW2923036343,,,
2923048805,,,,,,,,,,NEW2923048805,Information Tech Services-Software Development Team Lead,Division,St Lucia/Toowong Area,S03,Information Tech Services,NEW2923045798,,,
3011026095,,,,,,,,,,NEW3011026095,Uni of Qld Press-Administrative Officer,Branch/Directorate,St Lucia Campus,S01,Uni of Qld Press,SUP0000000724,,,
301,,,,,,,,,,SUP0000000724,Uni of Qld Press-Managing Editor/Publisher,Branch/Directorate,St Lucia Campus,S01,Uni of Qld Press,SUP00000007,,,
